percent,value
0.0,0.0
0.1,999.999
0.2,1999.998
0.3,2999.997
0.4,3999.996
0.5,4999.995
0.6,5999.994
0.7,6999.9929999999995
0.8,7999.992
0.9,8999.991000000002
1.0,9999.99
1.1,10999.989000000001
1.2,11999.988
1.3,12999.987000000001
1.4,13999.985999999999
1.5,14999.984999999999
1.6,15999.984
1.7,16999.983
1.8,17999.982000000004
1.9,18999.981
2.0,19999.98
2.1,20999.979000000003
2.2,21999.978000000003
2.3,22999.977
2.4,23999.976
2.5,24999.975000000002
2.6,25999.974000000002
2.7,26999.973
2.8,27999.971999999998
2.9,28999.970999999998
3.0,29999.969999999998
3.1,30999.969
3.2,31999.968
3.3,32999.967000000004
3.4,33999.966
3.5,34999.965000000004
3.6,35999.96400000001
3.7,36999.963
3.8,37999.962
3.9,38999.961
4.0,39999.96
4.1,40999.958999999995
4.2,41999.958000000006
4.3,42999.956999999995
4.4,43999.956000000006
4.5,44999.955
4.6,45999.954
4.7,46999.953
4.8,47999.952
4.9,48999.951
5.0,49999.950000000004
5.1,50999.94899999999
5.2,51999.948000000004
5.3,52999.947
5.4,53999.946
5.5,54999.945
5.6,55999.943999999996
5.7,56999.943
5.8,57999.941999999995
5.9,58999.941000000006
6.0,59999.939999999995
6.1,60999.939
6.2,61999.938
6.3,62999.937
6.4,63999.936
6.5,64999.935000000005
6.6,65999.93400000001
6.7,66999.933
6.8,67999.932
6.9,68999.93100000001
7.0,69999.93000000001
7.1,70999.92899999999
7.2,71999.92800000001
7.3,72999.927
7.4,73999.926
7.5,74999.925
7.6,75999.924
7.7,76999.923
7.8,77999.922
7.9,78999.921
8.0,79999.92
8.1,80999.91900000001
8.2,81999.91799999999
8.3,82999.917
8.4,83999.91600000001
8.5,84999.91500000001
8.6,85999.91399999999
8.7,86999.913
8.8,87999.91200000001
8.9,88999.91100000001
9.0,89999.91
9.1,90999.909
9.2,91999.908
9.3,92999.907
9.4,93999.906
9.5,94999.905
9.6,95999.904
9.7,96999.90299999999
9.8,97999.902
9.9,98999.901
10.0,99999.90000000001
10.1,100999.89899999999
10.2,101999.89799999999
10.3,102999.89700000001
10.4,103999.89600000001
10.5,104999.89499999999
10.6,105999.894
10.7,106999.893
10.8,107999.892
10.9,108999.891
11.0,109999.89
11.1,110999.889
11.2,111999.88799999999
11.3,112999.887
11.4,113999.886
11.5,114999.88500000001
11.6,115999.88399999999
11.7,116999.88299999999
11.8,117999.88200000001
11.9,118999.88100000001
12.0,119999.87999999999
12.1,120999.879
12.2,121999.878
12.3,122999.87700000001
12.4,123999.876
12.5,124999.875
12.6,125999.874
12.7,126999.873
12.8,127999.872
12.9,128999.871
13.0,129999.87000000001
13.1,130999.869
13.2,131999.86800000002
13.3,132999.867
13.4,133999.866
13.5,134999.86500000002
13.6,135999.864
13.7,136999.86299999998
13.8,137999.86200000002
13.9,138999.861
14.0,139999.86000000002
14.1,140999.859
14.2,141999.85799999998
14.3,142999.85700000002
14.4,143999.85600000003
14.5,144999.85499999998
14.6,145999.854
14.7,146999.853
14.8,147999.852
14.9,148999.851
15.0,149999.85
15.1,150999.849
15.2,151999.848
15.3,152999.847
15.4,153999.846
15.5,154999.845
15.6,155999.844
15.7,156999.843
15.8,157999.842
15.9,158999.84100000001
16.0,159999.84
16.1,160999.839
16.2,161999.83800000002
16.3,162999.837
16.4,163999.83599999998
16.5,164999.83500000002
16.6,165999.834
16.7,166999.83299999998
16.8,167999.83200000002
16.9,168999.83099999998
17.0,169999.83000000002
17.1,170999.82900000003
17.2,171999.82799999998
17.3,172999.82700000002
17.4,173999.826
17.5,174999.82499999998
17.6,175999.82400000002
17.7,176999.823
17.8,177999.82200000001
17.9,178999.821
18.0,179999.82
18.1,180999.81900000002
18.2,181999.818
18.3,182999.817
18.4,183999.816
18.5,184999.815
18.6,185999.814
18.7,186999.813
18.8,187999.812
18.9,188999.811
19.0,189999.81
19.1,190999.809
19.2,191999.808
19.3,192999.807
19.4,193999.80599999998
19.5,194999.805
19.6,195999.804
19.7,196999.80299999999
19.8,197999.802
19.9,198999.80099999998
20.0,199999.80000000002
20.1,200999.799
20.2,201999.79799999998
20.3,202999.79700000002
20.4,203999.79599999997
20.5,204999.79499999998
20.6,205999.79400000002
20.7,206999.79299999998
20.8,207999.79200000002
20.9,208999.791
21.0,209999.78999999998
21.1,210999.78900000002
21.2,211999.788
21.3,212999.78699999998
21.4,213999.786
21.5,214999.785
21.6,215999.784
21.7,216999.783
21.8,217999.782
21.9,218999.78099999996
